ticker_attuale	isin	eur_ticker	eur_exchange	trovato	note
EMXC.L	IE00BKM4GZ66	EMXC.MI	MI	yes	direct_probe price=41.60
AMEG.L	LU2089238203	MFDD.MI	MI	yes	via_name_search price=246.35; NOTA: AMEG.L=LU2089238203 versione EUR su MI
EMAD.L	LU1900066033	CHIP.MI	MI	yes	direct_probe price=114.29
MFDD.L	LU1681037518	FMI.MI	MI	yes	via_isin_search price=123.92
WINC.AS	IE000ZHSL3Q6	WINC.DE	DE	yes	direct_probe price=5.057
CNAL.L	LU1681038169	CNAA.MI	MI	yes	via_name_search price=177.26
INCI.AS	IE000CCZBB22	INCI.MI	MI	yes	direct_probe price=6.016
WOEE.AS	IE000P1IQS65	WOEH.MI	MI	yes	via_isin_search price=7.064
IWDA.L	IE00B4L5Y983	IWDA.AS	AS	yes	direct_probe price=123.63
CRPX.L	LU1829218822	CBEF.MI	MI	yes	via_isin_search price=137.55
GHYU.L	LU1681039514	GHYEH.MI	MI	yes	via_name_search price=22.645
USHY.L	LU1829218665	USHY.MI	MI	yes	direct_probe price=83.81
EPRE.L	LU1737653045	EPRE.MI	MI	yes	direct_probe price=335.05
UHYC.L	LU1829218749	COMO.PA	PA	yes	via_isin_search price=36.554
LEMB.L	LU1686830909	EMKTB.MI	MI	yes	via_name_search price=69.51
PRAP.SW	LU1681040028	PRAP.DE	DE	yes	direct_probe price=18.696
USIG.L	LU1285960032	USIH.PA	PA	yes	via_isin_search price=74.13
USIC.L	LU1612905427	USIC.MI	MI	yes	direct_probe price=8.741
USEE.AS	IE000D8XC064	USEE.MI	MI	yes	direct_probe price=6.193
UNIC.L	LU2023678878	UNIC.MI	MI	yes	direct_probe price=19.074
GENY.L	LU2023678621	GENY.DE	DE	yes	direct_probe price=15.738
DIGE.L	LU2023679181	EBUY.MI	MI	yes	via_name_search price=19.976
PHAU.L	JE00B1VS3770	PHAU.MI	MI	yes	direct_probe price=361.02
PHAG.L	JE00B1VS3333	PHAG.MI	MI	yes	direct_probe price=59.02
VWRA.L	IE00BK5BQT80	VWCE.DE	DE	yes	direct_probe price=163.42; classe ACC alternativa
IASP.SW	IE00B1FZS350	IASP.MI	MI	yes	direct_probe price=20.085
IWDP.SW	IE00B0M63284	IPRP.AS	AS	yes	via_isin_search price=31.61
INRG.SW	IE00B1W57M07	IQQ9.DE	DE	yes	via_isin_search price=19.672
XAID.L	IE00BGV5VN51	XAIX.DE	DE	yes	direct_probe price=209.05
VHYL.L	IE00B8GKDB10	VHYL.MI	MI	yes	direct_probe price=77.85
LTAM.L	IE00B27YCK28	LTAM.MI	MI	yes	direct_probe price=17.904
EMVL.L	IE00BP3QZB59	EMV.MI	MI	yes	direct_probe price=39.505; ATTENZIONE: EMVL.L=Value Factor, EMV.MI=EM Min Vol - estratto da ISIN IE00BP3QZB59
AIGI.L	JE00B2QPKJ06	AIGI.MI	MI	yes	direct_probe price=17.538
COPA.L	JE00B24DMC49	COPA.MI	MI	yes	direct_probe price=47.41
ALUM.L	JE00B15KXS37	ALUM.MI	MI	yes	direct_probe price=4.2325
ZINC.L	JE00B2QPKJ06	ZINC.MI	MI	yes	direct_probe price=10.32
COPM.AS	IE000CNSFAR2	COPM.MI	MI	yes	direct_probe price=9.808
BATG.L	IE00BF0M2Z96	BATE.DE	DE	yes	direct_probe price=34.73; BATE.DE = L&G Battery EUR
IDPE.L	IE00B1TXHL60	IPRE.DE	DE	yes	direct_probe price=4.9625
XLPE.L	LU0322250985	DX2G.DE	DE	yes	via_isin_search price=85.47
DLTM.L	IE00BGPP6958	IBGS.MI	MI	yes	direct_probe price=140.97; NOTA: DLTM.L=nome fuorviante, IBGS=iShares EUR Govt Bond 1-3yr
SGLD.L	IE00B579F325	SGLD.MI	MI	yes	direct_probe price=374.44
BTCN.AS	XS2940466316	NO_EUR	-	no	iShares Bitcoin ETP ha solo versione USD su AMS; non esiste class EUR verificata su Yahoo
CMOD.L	IE00BD6FVP32	CMOD.MI	MI	yes	direct_probe price=28.71
USPY.L	IE00BYPLS672	USPY.DE	DE	yes	direct_probe price=34.46
